FNUM	CNUM
1	1
1	4
1	7
1	9
1	13
1	16
1	17
1	18
1	21
2	1
2	4
2	7
2	9
2	15
2	16
2	18
2	21
3	1
3	4
3	7
3	9
3	14
3	16
3	18
3	21
4	1
4	4
4	6
4	9
4	12
4	17
4	19
4	20
5	1
5	4
5	7
5	8
5	11
5	17
5	19
5	20
6	1
6	4
6	6
6	8
6	13
6	16
6	19
6	21
7	1
7	4
7	6
7	8
7	11
7	17
7	19
7	21
8	1
8	4
8	6
8	8
8	9
8	11
8	17
8	19
8	20
9	1
9	4
9	6
9	9
9	15
9	17
9	19
9	21
10	1
10	4
10	6
10	9
10	12
10	17
10	19
10	21
11	1
11	4
11	6
11	9
11	11
11	16
11	19
11	21
12	1
12	4
12	6
12	9
12	11
12	16
12	19
13	1
12	21
13	4
13	6
13	9
13	15
13	17
13	18
13	20
14	1
14	5
14	7
14	9
14	12
14	17
14	18
14	21
15	1
15	5
15	7
15	9
15	12
15	16
15	18
15	21
16	1
16	5
16	7
16	9
16	11
16	17
16	18
16	21
17	1
17	5
17	7
17	9
17	12
17	16
17	18
17	21
18	1
18	5
18	7
18	8
18	12
18	15
18	17
18	18
18	21
19	1
19	5
19	7
19	9
19	11
19	17
19	18
19	21
20	1
20	5
20	7
20	8
20	11
20	17
20	18
20	21
21	1
21	5
21	7
21	8
21	11
21	17
21	18
21	21
22	1
22	5
22	7
22	8
22	11
22	17
22	18
22	21
23	1
23	5
23	7
23	9
23	10
23	12
23	16
23	19
23	21
24	1
24	5
24	7
24	9
24	14
24	17
24	18
24	21
25	1
25	5
25	7
25	8
25	13
25	17
25	18
25	21
26	1
26	5
26	7
26	9
26	14
26	16
26	17
26	18
26	19
26	21
27	1
27	5
27	7
27	9
27	11
27	17
27	18
27	21
28	1
28	5
28	7
28	9
28	11
28	17
28	18
28	21
29	1
29	5
29	7
29	9
29	11
29	17
29	18
29	21
30	1
30	2
30	5
30	7
30	8
30	9
30	11
30	12
30	16
30	19
30	21
31	1
31	2
31	5
31	7
31	8
31	11
31	16
31	19
31	21
32	1
32	2
32	5
32	7
32	8
32	11
32	17
32	18
32	21
33	1
33	2
33	5
33	7
33	9
33	10
33	11
33	16
33	19
33	21
34	1
34	2
34	5
34	6
34	9
34	11
34	12
34	16
34	18
34	21
35	1
35	2
35	5
35	6
35	8
35	11
35	16
36	5
35	18
35	19
35	21
35	17
36	1
36	6
36	8
36	11
36	17
36	18
36	21
37	1
37	2
37	5
37	6
37	8
37	11
37	17
37	18
37	21
38	1
38	2
38	5
38	6
38	9
38	11
38	17
38	18
38	21
39	1
39	2
39	5
39	6
39	8
39	11
39	17
39	18
39	21
40	1
40	2
40	5
40	6
40	8
40	11
40	16
40	19
40	21
41	1
41	2
41	5
41	6
41	9
41	11
41	17
41	18
41	21
42	1
42	2
42	5
42	6
42	9
42	11
42	17
42	18
42	21
43	1
43	5
43	6
43	9
43	11
43	17
43	18
43	21
44	1
44	2
44	5
44	6
44	8
44	11
44	17
44	18
44	21
45	1
45	2
45	5
45	6
45	8
45	11
45	16
45	19
45	21
46	1
46	2
46	5
46	6
46	8
46	11
46	16
46	19
46	21
47	1
47	2
47	5
47	7
47	9
47	11
47	12
47	17
47	18
47	21
48	1
48	2
48	5
48	7
48	8
48	9
48	10
48	11
48	17
48	18
48	21
49	1
49	2
49	5
49	7
49	9
49	13
49	17
49	18
49	21
50	1
50	2
50	5
50	7
50	11
50	17
50	18
50	21
51	1
51	2
51	5
51	7
51	9
51	8
51	11
51	17
51	18
51	21
52	2
52	7
52	5
52	9
52	11
52	17
52	19
52	21
53	2
53	5
53	7
53	9
53	11
53	12
53	16
53	19
53	20
54	1
54	2
54	5
54	7
54	8
54	11
54	17
54	18
54	21
55	2
55	5
55	6
55	9
55	12
55	16
55	11
55	19
55	21
56	3
56	5
56	7
56	9
56	14
56	17
56	18
56	21
57	3
57	5
57	7
57	9
57	14
57	17
57	18
57	21
58	3
58	5
58	7
58	8
58	9
58	10
58	14
58	17
58	18
58	21
59	3
59	5
59	7
59	9
59	14
59	17
59	18
59	21
60	3
60	5
60	7
60	9
60	14
60	17
60	19
60	21
61	3
61	5
61	7
61	9
61	10
61	11
61	17
61	19
61	21
62	1
62	3
62	5
62	6
62	7
62	8
62	11
62	17
62	19
62	21
63	3
63	5
63	7
63	9
63	11
63	17
63	18
63	21
64	1
64	3
64	4
64	6
64	8
64	11
64	17
64	19
64	21
65	1
65	5
65	7
65	9
65	11
65	12
65	17
65	18
65	21
66	3
66	5
66	7
66	9
66	14
66	17
66	19
66	21
67	1
67	3
67	5
67	7
67	8
67	9
67	11
67	13
67	16
67	18
67	21
68	1
68	3
68	5
68	7
68	8
68	9
68	14
68	17
68	18
68	21
